timestamp,temperature_c,humidity_pct,pressure_hpa,rainfall_mm
35h 0m 4s,11.0,42.9,989.9,0.0000
35h 5m 4s,11.1,42.6,989.9,0.0000
35h 10m 4s,11.1,42.0,989.8,0.0000
35h 15m 4s,11.1,42.2,989.8,0.0000
35h 20m 4s,11.0,42.2,989.9,0.0000
35h 25m 4s,10.8,42.2,989.9,0.0000
35h 30m 4s,10.6,43.0,990.0,0.0000
35h 35m 4s,10.6,43.4,990.0,0.0000
35h 40m 4s,10.5,44.3,990.0,0.0000
35h 45m 4s,10.4,44.6,990.0,0.0000
35h 50m 4s,10.3,45.6,989.9,0.0000
35h 55m 4s,10.1,47.3,989.9,0.0000
36h 0m 4s,10.1,47.5,989.9,0.0000
36h 5m 4s,9.9,49.0,990.1,0.0000
36h 10m 4s,9.7,50.6,990.1,0.0000
36h 15m 4s,9.5,51.9,990.1,0.0000
36h 20m 4s,9.4,53.2,990.2,0.0000
36h 25m 4s,9.4,53.6,990.2,0.0000
36h 30m 4s,9.4,52.8,990.3,0.0000
36h 35m 4s,9.3,53.3,990.2,0.0000
36h 40m 4s,9.3,54.3,990.2,0.0000
36h 45m 4s,9.2,55.4,990.3,0.0000
36h 50m 4s,9.4,55.2,990.3,0.0000
36h 55m 4s,9.3,55.5,990.3,0.0000
37h 0m 4s,9.4,55.2,990.4,0.0000
37h 5m 4s,9.2,56.0,990.5,0.0000
37h 10m 4s,9.3,56.4,990.5,0.0000
37h 15m 4s,9.4,57.0,990.6,0.0000
37h 20m 4s,9.6,57.6,990.6,0.0000
37h 25m 4s,10.0,57.1,990.6,0.0000
37h 30m 4s,10.8,56.9,990.7,0.0000
37h 35m 4s,11.9,54.9,990.8,0.0000
37h 40m 4s,12.6,52.4,990.8,0.0000
37h 45m 4s,13.5,47.1,990.9,0.0000
37h 50m 4s,15.1,43.4,990.9,0.0000
37h 55m 4s,16.5,37.9,990.8,0.0000
38h 0m 4s,17.9,34.1,990.8,0.0000
38h 5m 4s,19.1,31.6,990.7,0.0000
38h 10m 4s,19.9,30.1,990.7,0.0000
38h 15m 4s,21.1,28.0,990.7,0.0000
38h 20m 4s,22.4,26.0,990.9,0.0000
38h 25m 4s,23.2,24.5,990.7,0.0000
38h 30m 4s,23.9,24.3,990.6,0.0000
38h 35m 4s,24.1,23.2,990.7,0.0000
38h 40m 4s,24.6,22.5,990.9,0.0000
38h 45m 4s,25.3,21.3,990.8,0.0000
38h 50m 4s,26.0,21.1,990.8,0.0000
38h 55m 4s,26.0,20.7,990.8,0.0000
39h 0m 4s,25.8,20.4,990.8,0.0000
39h 5m 4s,26.4,19.3,990.8,0.0000
39h 10m 4s,26.6,19.1,990.9,0.0000
39h 15m 4s,26.8,18.5,990.8,0.0000
39h 20m 4s,27.0,17.7,990.8,0.0000
39h 25m 4s,27.3,18.5,990.7,0.0000
39h 30m 4s,27.7,19.1,990.6,0.0000
39h 35m 4s,28.0,17.5,990.5,0.0000
39h 40m 4s,27.8,17.7,990.4,0.0000
39h 45m 4s,28.5,17.6,990.4,0.0000
39h 50m 4s,28.6,17.9,990.4,0.0000
39h 55m 4s,28.3,18.2,990.3,0.0000
40h 0m 4s,29.0,18.5,990.3,0.0000
40h 5m 4s,29.0,17.1,990.2,0.0000
40h 10m 4s,29.6,18.3,990.2,0.0000
40h 15m 5s,30.2,16.8,990.1,0.0000
40h 20m 5s,30.9,16.2,990.1,0.0000
40h 25m 5s,31.4,16.0,990.0,0.0000
40h 30m 5s,30.8,15.9,990.0,0.0000
40h 35m 5s,31.6,16.5,989.9,0.0000
40h 40m 5s,32.9,14.3,989.8,0.0000
40h 45m 5s,33.4,14.1,989.8,0.0000
40h 50m 5s,32.7,14.9,989.8,0.0000
40h 55m 5s,32.6,14.0,989.8,0.0000
41h 0m 5s,32.7,14.7,989.8,0.0000
41h 5m 5s,33.3,13.4,989.8,0.0000
41h 10m 5s,32.8,14.1,989.7,0.0000
41h 15m 5s,32.7,13.6,989.6,0.0000
41h 20m 5s,33.5,13.7,989.6,0.0000
41h 25m 5s,33.9,13.4,989.5,0.0000
41h 30m 5s,34.3,12.6,989.5,0.0000
41h 35m 5s,35.0,12.5,989.4,0.0000
41h 40m 5s,35.2,12.7,989.3,0.0000
41h 45m 5s,35.0,12.6,989.3,0.0000
41h 50m 5s,35.0,12.7,989.3,0.0000
41h 55m 5s,35.4,12.9,989.2,0.0000
42h 0m 5s,34.7,12.7,989.3,0.0000
42h 5m 5s,34.2,12.1,989.1,0.0000
42h 10m 5s,34.4,12.6,989.1,0.0000
42h 15m 5s,35.5,12.3,989.1,0.0000
42h 20m 5s,36.3,11.5,989.1,0.0000
42h 25m 5s,36.6,10.9,989.0,0.0000
42h 30m 5s,36.2,11.0,988.9,0.0000
42h 35m 5s,35.5,12.9,988.9,0.0000
42h 40m 5s,36.5,11.3,988.8,0.0000
42h 45m 5s,36.1,11.4,988.7,0.0000
42h 50m 5s,36.7,11.6,988.6,0.0000
42h 55m 5s,37.9,10.9,988.6,0.0000
43h 0m 5s,37.5,11.1,988.6,0.0000
43h 5m 5s,37.7,10.7,988.5,0.0000
43h 10m 5s,36.3,11.5,988.4,0.0000
43h 15m 5s,35.4,13.2,988.3,0.0000
43h 20m 5s,36.9,11.9,988.3,0.0000
43h 25m 5s,38.1,12.2,988.3,0.0000
43h 30m 5s,37.5,11.4,988.0,0.0000
43h 35m 5s,37.8,11.5,988.0,0.0000
43h 40m 5s,37.3,12.3,987.9,0.0000
43h 45m 5s,36.0,12.5,987.8,0.0000
43h 50m 5s,37.1,13.6,987.7,0.0000
43h 55m 5s,36.3,13.3,987.7,0.0000
44h 0m 5s,36.7,13.9,987.6,0.0000
44h 5m 5s,36.9,13.1,987.5,0.0000
44h 10m 5s,37.5,11.9,987.5,0.0000
44h 15m 5s,36.5,13.0,987.3,0.0000
44h 20m 5s,36.5,13.8,987.3,0.0000
44h 25m 5s,34.5,14.5,987.3,0.0000
